"Name","Source","Size","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Elephant","MM","Huge","unaligned","12 (natural armor)","76 (8d12 + 24)","40 ft.","22","9","17","3","11","6","","","","","","","passive Perception 10","—","4 (1,100 XP)"," Trampling Charge. If the elephant moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the elephant can make one stomp attack against it as a bonus action."," Gore. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 19 (3d8 + 6) piercing damage. Stomp. Melee Weapon Attack: +8 to hit, reach 5 ft., one prone creature. Hit: 22 (3d10 + 6) bludgeoning damage.","","","","","","","Grassland"
"Elk","MM","Large","unaligned","10","13 (2d10 + 2)","50 ft.","16","10","12","2","10","6","","","","","","","passive Perception 10","—","1/4 (50 XP)"," Charge. If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone."," Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one prone creature. Hit: 8 (2d4 + 3) bludgeoning damage.","","","","","","","Forest, Grassland, Hill"
"Enormous Tentacle","OoW","Huge","unaligned","12","60 (8d12 + 8)","30 ft., swim 30 ft.","19","14","12","1","10","3","","Perception +2","","","","","blindsight 10 ft., passive Perception 12","—","2 (450 XP)"," Reach. The tentacle can reach anywhere in the room."," Constrict. Melee Weapon Attack: +6 to hit, reach 35 ft., one creature. Hit: 13 (2d8 + 4) bludgeoning damage, and the target is grappled (escape DC 16). Until this grapple ends, the creature is restrained, and the tentacle can't constrict another target.","","","","","","",""
"Falcon","WDH","Tiny","unaligned","13","1 (1d4 - 1)","10 ft., fly 60 ft.","5","16","8","2","14","6","","Perception +4","","","","","passive Perception 14","—","0 (0 or 10 XP)"," Keen Sight. The falcon has advantage on Wisdom (Perception) checks that rely on sight."," Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 slashing damage.","","","","","","",""
"Fastieth","ERLW","Medium","unaligned","14","9 (2d8)","50 ft.","12","18","10","4","11","4","","","","","","","passive Perception 10","—","1/4 (50 XP)"," Quickness (Recharge 5–6). The fastieth can take the Dodge action as a bonus action."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.","","","","","","",""
"Fiendish Giant Spider","OotA","Medium","unaligned","13","11 (2d8 + 2)","40 ft., climb 40 ft.","12","16","13","3","12","4","","Perception +3, Stealth +7","","cold, fire, lightning","poison","poisoned","blindsight 10 ft., darkvision 60 ft., passive Perception 13","—","1/2 (100 XP)"," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 7 (2d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.","","","","","","",""
"Fish","GoS","Tiny","unaligned","13","1 (1d4 - 1)","0 ft., swim 40 ft.","2","16","9","1","7","2","","","","","","","darkvision 60 ft., passive Perception 8","—","0 (0 or 10 XP)"," Water Breathing. The fish can breathe only underwater.","","","","","","","",""
"Flying Monkey","ToA","Small","unaligned","12","3 (1d6)","30 ft., climb 20 ft., fly 30 ft.","8","14","11","5","12","6","","","","","","","passive Perception 11","—","0 (0 or 10 XP)"," Familiar. With the DM's permission, the find familiar spell can summon a flying monkey. Pack Tactics. The flying monkey has advantage on an attack roll against a creature if at least one of the monkey's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target Hit: 1 (1d4 - 1) piercing damage.","","","","","","",""
"Flying Snake","MM","Tiny","unaligned","14","5 (2d4)","30 ft., fly 60 ft., swim 30 ft.","4","18","11","2","12","5","","","","","","","blindsight 10 ft., passive Perception 11","—","1/8 (25 XP)"," Flyby. The snake doesn't provoke opportunity attacks when it flies out of an enemy's reach."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 1 piercing damage plus 7 (3d4) poison damage.","","","","","","","Desert, Forest, Grassland, Urban"
"Fox","IDRotF","Tiny","unaligned","13","2 (1d4)","30 ft., burrow 5 ft.","2","16","11","3","12","6","","Perception +3, Stealth +5","","","","","darkvision 60 ft., passive Perception 13","—","0 (0 or 10 XP)"," Keen Hearing. The fox has advantage on Wisdom (Perception) checks that rely on hearing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.","","","","","","",""
"Frog","MM","Tiny","unaligned","11","1 (1d4 - 1)","20 ft., swim 20 ft.","1","13","8","1","8","3","","Perception +1, Stealth +3","","","","","darkvision 30 ft., passive Perception 11","—","0 (0 or 10 XP)"," Amphibious. The frog can breathe air and water. Standing Leap. The frog's long jump is up to 10 feet and its high jump is up to 5 feet, with or without a running start.","","","","","","","",""
"Giant Ape","MM","Huge","unaligned","12","157 (15d12 + 60)","40 ft., climb 40 ft.","23","14","18","7","12","7","","Athletics +9, Perception +4","","","","","passive Perception 14","—","7 (2,900 XP)",""," Multiattack. The ape makes two fist attacks. Fist. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 22 (3d10 + 6) bludgeoning damage. Rock. Ranged Weapon Attack: +9 to hit, range 50/100 ft., one target. Hit: 30 (7d6 + 6) bludgeoning damage.","","","","","","","Forest"
"Giant Badger","MM","Medium","unaligned","10","13 (2d8 + 4)","30 ft., burrow 10 ft.","13","10","15","2","12","5","","","","","","","darkvision 30 ft., passive Perception 11","—","1/4 (50 XP)"," Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. The badger makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage. Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage.","","","","","","","Forest"
"Giant Bat","MM","Large","unaligned","13","22 (4d10)","10 ft., fly 60 ft.","15","16","11","2","12","6","","","","","","","blindsight 60 ft., passive Perception 11","—","1/4 (50 XP)"," Echolocation. The bat can't use its blindsight while deafened. Keen Hearing. The bat has advantage on Wisdom (Perception) checks that rely on hearing."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage.","","","","","","","Forest, Underdark"
"Giant Boar","MM","Large","unaligned","12 (natural armor)","42 (5d10 + 15)","40 ft.","17","10","16","2","7","5","","","","","","","passive Perception 8","—","2 (450 XP)"," Charge. If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 7 (2d6) slashing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone. Relentless (Recharges after a Short or Long Rest). If the boar takes 10 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead."," Tusk. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.","","","","","","","Forest, Grassland, Hill"
"Giant Canary","FTD","Large","unaligned","12","26 (4d10 + 4)","30 ft., fly 60 ft.","10","14","12","2","10","6","","","","","","","passive Perception 10","—","1/2 (100 XP)",""," Peck. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.","","","","","","",""
"Giant Centipede","MM","Small","unaligned","13 (natural armor)","4 (1d6 + 1)","30 ft., climb 30 ft.","5","14","12","1","7","3","","","","","","","blindsight 30 ft., passive Perception 8","—","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or take 10 (3d6) poison damage. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.","","","","","","","Underdark, Urban"
"Giant Constrictor Snake","MM","Huge","unaligned","12","60 (8d12 + 8)","30 ft., swim 30 ft.","19","14","12","1","10","3","","Perception +2","","","","","blindsight 10 ft., passive Perception 12","—","2 (450 XP)",""," Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one creature. Hit: 11 (2d6 + 4) piercing damage. Constrict. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 13 (2d8 + 4) bludgeoning damage, and the target is grappled (escape DC 16). Until this grapple ends, the creature is restrained, and the snake can't constrict another target.","","","","","","","Desert, Forest, Swamp, Underdark, Underwater"
"Giant Coral Snake","GoS","Large","unaligned","13","90 (12d10 + 24)","30 ft., swim 30 ft.","12","16","14","2","10","3","","Perception +2","","","","","blindsight 10 ft., passive Perception 12","—","4 (1,100 XP)",""," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be stunned until the end of its next turn. On a failed save, the target begins to hallucinate and is afflicted with a short-term madness effect (determined randomly or by the DM; see ""Madness"" in chapter 8 of the Dungeon Master's Guide). The effect lasts 10 minutes.","","","","","","",""
"Giant Crab","MM","Medium","unaligned","15 (natural armor)","13 (3d8)","30 ft., swim 30 ft.","13","15","11","1","9","3","","Stealth +4","","","","","blindsight 30 ft., passive Perception 9","—","1/8 (25 XP)"," Amphibious. The crab can breathe air and water."," Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage, and the target is grappled (escape DC 11). The crab has two claws, each of which can grapple only one target.","","","","","","","Coastal"
"Giant Crayfish","TftYP","Large","unaligned","15 (natural armor)","45 (7d10 + 7)","30 ft., swim 30 ft.","15","13","13","1","9","3","","Stealth +3","","","","","blindsight 30 ft., passive Perception 9","—","2 (450 XP)"," Amphibious. The giant crayfish can breathe air and water."," Multiattack. The giant crayfish makes two claw attacks. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) bludgeoning damage, and the target is grappled (escape DC 12). The crayfish has two claws, each of which can grapple only one target.","","","","","","",""
"Giant Crocodile","MM","Huge","unaligned","14 (natural armor)","85 (9d12 + 27)","30 ft., swim 50 ft.","21","9","17","2","10","7","","Stealth +5","","","","","passive Perception 10","—","5 (1,800 XP)"," Hold Breath. The crocodile can hold its breath for 30 minutes."," Multiattack. The crocodile makes two attacks: one with its bite and one with its tail. Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 21 (3d10 + 5) piercing damage, and the target is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the crocodile can't bite another target. Tail. Melee Weapon Attack: +8 to hit, reach 10 ft., one target not grappled by the crocodile. Hit: 14 (2d8 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 16 Strength saving throw or be knocked prone.","","","","","","","Swamp"
"Giant Dragonfly","WBtW","Large","unaligned","16 (natural armor)","22 (4d10)","10 ft., fly 60 ft.","15","18","11","3","10","3","","","","","","","passive Perception 10","—","1/2 (100 XP)"," Drone. When it beats its wings, the dragonfly emits a loud droning sound that can be heard out to a range of 120 feet."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) piercing damage.",""," Uncanny Dodge. The dragonfly halves the damage it takes from an attack made against it, provided it can see the attacker.","","","","",""
"Giant Eagle","MM","Large","neutral good","13","26 (4d10 + 4)","10 ft., fly 80 ft.","16","17","13","8","14","10","","Perception +4","","","","","passive Perception 14","Giant Eagle, understands Common and Auran but can't speak them","1 (200 XP)"," Keen Sight. The eagle has advantage on Wisdom (Perception) checks that rely on sight."," Multiattack. The eagle makes two attacks: one with its beak and one with its talons. Beak. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage. Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.","","","","","","","Coastal, Grassland, Hill, Mountain"
"Giant Elk","MM","Huge","unaligned","14 (natural armor)","42 (5d12 + 10)","60 ft.","19","16","14","7","14","10","","Perception +4","","","","","passive Perception 14","Giant Elk, understands Common, Elvish, Sylvan but can't speak them","2 (450 XP)"," Charge. If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone."," Ram. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one prone creature. Hit: 22 (4d8 + 4) bludgeoning damage.","","","","","","","Forest, Grassland, Hill, Mountain"
"Giant Fire Beetle","MM","Small","unaligned","13 (natural armor)","4 (1d6 + 1)","30 ft.","8","10","12","1","7","3","","","","","","","blindsight 30 ft., passive Perception 8","—","0 (0 or 10 XP)"," Illumination. The beetle sheds bright light in a 10-foot radius and dim light for an additional 10 ft.."," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) slashing damage.","","","","","","","Underdark"
"Giant Fly","DMG","Large","unaligned","11","19 (3d10 + 3)","30 ft., fly 60 ft.","14","13","13","2","10","3","","","","","","","darkvision 60 ft., passive Perception 10","—","","","","","","","","","",""
"Giant Flying Spider","WDMM","Large","unaligned","14 (natural armor)","26 (4d10 + 4)","30 ft., climb 30 ft., fly 40 ft.","14","16","12","2","11","4","","Stealth +7","","","","","blindsight 10 ft., darkvision 60 ft., passive Perception 10","—","1 (200 XP)"," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way. Web (Recharge 5–6). Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is restrained by webbing. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).","","","","","","",""
"Giant Frog","MM","Medium","unaligned","11","18 (4d8)","30 ft., swim 30 ft.","12","13","11","2","10","3","","Perception +2, Stealth +3","","","","","darkvision 30 ft., passive Perception 12","—","1/4 (50 XP)"," Amphibious. The frog can breathe air and water. Standing Leap. The frog's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage, and the target is grappled (escape DC 11). Until this grapple ends, the target is restrained, and the frog can't bite another target. Swallow. The frog makes one bite attack against a Small or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the frog, and it takes 5 (2d4) acid damage at the start of each of the frog's turns. The frog can have only one target swallowed at a time. If the frog dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.","","","","","","","Forest, Swamp"
"Giant Goat","MM","Large","unaligned","11 (natural armor)","19 (3d10 + 3)","40 ft.","17","11","12","3","12","6","","","","","","","passive Perception 11","—","1/2 (100 XP)"," Charge. If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 5 (2d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone. Sure-Footed. The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone."," Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) bludgeoning damage.","","","","","","","Grassland, Hill, Mountain"
"Giant Hyena","MM","Large","unaligned","12","45 (6d10 + 12)","50 ft.","16","14","14","2","12","7","","Perception +3","","","","","passive Perception 13","—","1 (200 XP)"," Rampage. When the hyena reduces a creature to 0 hit points with a melee attack on its turn, the hyena can take a bonus action to move up to half its speed and make a bite attack."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage.","","","","","","","Desert, Forest, Grassland, Hill"
"Giant Lightning Eel","TftYP","Large","unaligned","13","42 (5d10 + 15)","5 ft., swim 30 ft.","11","17","16","2","12","3","","","","lightning","","","blindsight 60 ft., passive Perception 11","—","3 (700 XP)"," Water Breathing. The eel can breathe only underwater."," Multiattack. The eel makes two bite attacks. Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage plus 4 (1d8) lightning damage. Lightning Jolt (Recharge 5–6). One creature the eel touches within 5 feet of it outside water, or each creature within 15 feet of it in a body of water, must make a DC 12 Constitution saving throw. On failed save, a target takes 13 (3d8) lightning damage. If the target takes any of this damage, the target is stunned until the end of the eel's next turn. On a successful save, a target takes half as much damage and isn't stunned.","","","","","","",""
"Giant Lizard","MM","Large","unaligned","12 (natural armor)","19 (3d10 + 3)","30 ft., climb 30 ft.","15","12","13","2","10","5","","","","","","","darkvision 30 ft., passive Perception 10","—","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.","","","","","","","Coastal, Desert, Forest, Swamp, Underdark"
"Giant Octopus","MM","Large","unaligned","11","52 (8d10 + 8)","10 ft., swim 60 ft.","17","13","13","4","10","4","","Perception +4, Stealth +5","","","","","darkvision 60 ft., passive Perception 14","—","1 (200 XP)"," Hold Breath. While out of water, the octopus can hold its breath for 1 hour. Underwater Camouflage. The octopus has advantage on Dexterity (Stealth) checks made while underwater. Water Breathing. The octopus can breathe only underwater."," Tentacles. Melee Weapon Attack: +5 to hit, reach 15 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage. If the target is a creature, it is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the octopus can't use its tentacles on another target. Ink Cloud (Recharges after a Short or Long Rest). A 20-foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.","","","","","","","Underwater"
"Giant Owl","MM","Large","neutral","12","19 (3d10 + 3)","5 ft., fly 60 ft.","13","15","12","8","13","10","","Perception +5, Stealth +4","","","","","darkvision 120 ft., passive Perception 15","Giant Owl, understands Common, Elvish, and Sylvan but can't speak them","1/4 (50 XP)"," Flyby. The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach. Keen Hearing and Sight. The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight."," Talons. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 8 (2d6 + 1) slashing damage.","","","","","","","Arctic, Forest, Hill"
"Giant Poisonous Snake","MM","Medium","unaligned","14","11 (2d8 + 2)","30 ft., swim 30 ft.","10","18","13","2","10","3","","Perception +2","","","","","blindsight 10 ft., passive Perception 12","—","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 6 (1d4 + 4) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.","","","","","","","Desert, Forest, Grassland, Swamp, Underdark, Urban"
"Giant Rat","MM","Small","unaligned","12","7 (2d6)","30 ft.","7","15","11","2","10","4","","","","","","","darkvision 60 ft., passive Perception 10","—","1/8 (25 XP)"," Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell. Pack Tactics. The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","","Forest, Swamp, Underdark, Urban"
"Giant Raven","SKT","Large","neutral evil","10","22 (3d10 + 6)","10 ft., fly 60 ft.","15","10","15","6","12","7","","Perception +3","","","","","passive Perception 13","understands Common but can't speak","1 (200 XP)"," Keen Sight and Smell. The raven has advantage on Wisdom (Perception) checks that rely on sight or smell. Pack Tactics. The raven has advantage on an attack roll against a creature if at least one of the raven's allies is within 5 feet of the creature and the ally isn't incapacitated."," Multiattack. The raven makes two attacks: one with its beak and one with its talons. Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage. Talons. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.","","","","","","",""
"Giant Riding Lizard","OotA","Large","unaligned","12 (natural armor)","19 (3d10 + 3)","30 ft., climb 30 ft.","15","12","13","2","10","5","","","","","","","darkvision 30 ft., passive Perception 10","—","1/4 (50 XP)"," Spider Climb. The lizard can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.","","","","","","",""
"Giant Rocktopus","OotA","Large","unaligned","11","52 (8d10 + 8)","20 ft., climb 10 ft.","17","13","13","4","10","4","","Perception +4, Stealth +5","","","","","darkvision 60 ft., passive Perception 14","—","1 (200 XP)"," Camouflage. The octopus has advantage on Dexterity (Stealth) checks."," Tentacles. Melee Weapon Attack: +5 to hit, reach 15 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage. If the target is a creature, it is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the octopus can't use its tentacles on another target. Ink Cloud (Recharges after a Short or Long Rest). A 20-foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.","","","","","","",""
"Giant Scorpion","MM","Large","unaligned","15 (natural armor)","52 (7d10 + 14)","40 ft.","15","13","15","1","9","3","","","","","","","blindsight 60 ft., passive Perception 9","—","3 (700 XP)",""," Multiattack. The scorpion makes three attacks: two with its claws and one with its sting. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) bludgeoning damage, and the target is grappled (escape DC 12). The scorpion has two claws, each of which can grapple only one target. Sting. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target must make a DC 12 Constitution saving throw, taking 22 (4d10) poison damage on a failed save, or half as much damage on a successful one.","","","","","","","Desert"
"Giant Sea Eel","GoS","Large","unaligned","14 (natural armor)","19 (3d10 + 3)","0 ft., swim 40 ft.","11","14","12","7","10","7","Dex +4","Perception +2, Stealth +4","","","","","darkvision 60 ft., passive Perception 12","—","1/2 (100 XP)"," Water Breathing. The eel can breathe only underwater."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 13 (2d10 + 2) piercing damage.","","","","","","",""
"Giant Sea Horse","MM","Large","unaligned","13 (natural armor)","16 (3d10)","0 ft., swim 40 ft.","12","15","11","2","12","5","","","","","","","passive Perception 11","—","1/2 (100 XP)"," Charge. If the sea horse moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) bludgeoning damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone. Water Breathing. The sea horse can breathe only underwater."," Ram. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage.","","","","","","","Underwater"
"Giant Shark","MM","Huge","unaligned","13 (natural armor)","126 (11d12 + 55)","0 ft., swim 50 ft.","23","11","21","1","10","5","","Perception +3","","","","","blindsight 60 ft., passive Perception 13","—","5 (1,800 XP)"," Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. Water Breathing. The shark can breathe only underwater."," Bite. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 22 (3d10 + 6) piercing damage.","","","","","","","Underwater"
"Giant Snail","WBtW","Large","unaligned","11 (natural armor)","22 (4d10)","10 ft., climb 10 ft.","15","3","11","3","10","3","","","","","","","darkvision 60 ft., passive Perception 10","—","1/4 (50 XP)"," Salt Osmosis. Whenever the snail starts its turn in contact with a pound or more of salt, it takes 1d4 necrotic damage. Using an action to sprinkle a pound of salt on the snail deals 1d4 necrotic damage to it immediately and another 1d4 necrotic damage to it at the start of its next turn (after which the salt rubs off), provided the snail has not withdrawn into its shell."," Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage. Shell Defense. The snail withdraws into its shell, gaining a +4 bonus to its AC until it emerges. It can emerge from its shell as a bonus action on its turn.","","","","","","",""
"Giant Snapping Turtle","ToA","Large","unaligned","17 (natural armor), 12 while prone","75 (10d10 + 20)","30 ft., swim 40 ft.","19","10","14","2","12","5","","","","","","","darkvision 60 ft., passive Perception 11","—","3 (700 XP)"," Amphibious. The turtle can breathe air and water. Stable. Whenever an effect knocks the turtle prone, it can make a DC 10 Constitution saving throw to avoid being knocked prone. A prone turtle is upside down. To stand up, it must succeed on a DC 10 Dexterity check on its turn and then use all its movement for that turn."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 18 (4d6 + 4) slashing damage.","","","","","","",""
"Giant Space Hamster","BAM","Large","unaligned","11","22 (4d10)","30 ft., burrow 10 ft.","14","12","10","2","12","4","","","","","","","passive Perception 11","—","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage.","","","","","","",""
"Giant Spider","MM","Large","unaligned","14 (natural armor)","26 (4d10 + 4)","30 ft., climb 30 ft.","14","16","12","2","11","4","","Stealth +7","","","","","blindsight 10 ft., darkvision 60 ft., passive Perception 10","—","1 (200 XP)"," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way. Web (Recharge 5–6). Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is restrained by webbing. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).","","","","","","","Desert, Forest, Swamp, Underdark, Urban"
