Crossing Sweeper,Sweeps A Path Ahead Of People Crossing Dirty Urban Streets In Exchange For A Gratuity.
Deserter,A Member Of The Armed Forces Who Has Deserted.
Disgraced Noble,"A Person Of High Birth Who Has Since Loss Their Respect, Honor, Or Esteem In Some Or All Noble Circles."
Drunkard,A Person Who Is Habitually Drunk And Considers Themselves A Professional In The Task.
Dungeon Delver,Navigates Underground Labyrinths In Search Of Any Treasure They May Find.
Elder,"A Person Of A Greater Age, Especially One With A Respected Position In Society."
Exile,"Lives Away From Their Native Country, Either From Choice Or Compulsion."
Explorer,Explores Unfamiliar Areas In Search Of Geographical Or Scientific Information.
Ex-Criminal,"A Person Who Has Been Convicted Of A Crime And Has Since Served Their Sentence, Or Who Has Preemptively Given Up Their Life Of Crime."
Folk Hero,A Celebrity Who Is Greatly Admired By Many People Of A Particular Kind Or In A Particular Place.
Gambler,"Bets Money On Sports, Card Games, Or Games Of Chance In The Hope Of A Profit."
Grave Robber/Tomb Raider,Steals Valuables From Graves And Tombs.
Heretic,Differs In Opinion From Established Religious Dogma.
Hermit,"Lives In Solitude, Typically As A Religious Or Spiritual Discipline."
Housewife/Househusband,Cares For His Or Her Family By Managing Household Affairs And Completing Housework.
Pilgrim,"Journeys To Some Sacred Place As An Act Of Religious Devotion, Occasionally To Settle There."
Prisoner,Held In Confinement As A Punishment For Crimes They Have Been Convicted Of.
Rag-and-Bone Man,Collects Unwanted Household Items And Sells Them To Merchants.
Rebel/Political Dissident,Rises In Opposition Or Armed Resistance Against An Established Government Or Ruler.
Refugee,"Leaves Their Home In Order To Escape War, Persecution, Or Natural Disaster."
Runaway Slave,A Slave Who Has Left Their Master And Traveled Without Authorization.
Scavenger/Mudlark/Tosher,Searches For And Collects Discarded Items.
Slave,A Person Who Is The Legal Property Of Another And Forced To Obey Them.
Squatter,Unlawfully Occupies An Uninhabited Building Or Unused Land.
Traveler/Wanderer/Vagabond,Wanders From Place To Place Without A Permanent Home Or Job.
Urchin,"A Child Who Lives Or Spends Most Of Their Time In The Streets, Occasionally Working As A Thief Or Pickpocket."
